market_segment,distribution_channel,market_id
Direct,Direct,1
Corporate,Corporate,2
Online TA,TA/TO,3
Offline TA/TO,TA/TO,4
Complementary,Direct,5
Direct,TA/TO,6
Groups,Direct,7
Groups,Corporate,8
Offline TA/TO,Direct,9
Groups,TA/TO,10
Corporate,Direct,11
Complementary,TA/TO,12
Complementary,Corporate,13
Direct,Corporate,14
Corporate,TA/TO,15
Online TA,Direct,16
Online TA,Corporate,17
Direct,Undefined,18
Offline TA/TO,Corporate,19
Undefined,Undefined,20
Online TA,Undefined,21
Online TA,GDS,22
Aviation,Corporate,23
Offline TA/TO,GDS,24
Aviation,TA/TO,25
Direct,GDS,26
